country,province,description,points,production_cost,price,taster_name,winery
US,Washington,"This wine is two-thirds Merlot, with the balance Cabernet Sauvignon and Cabernet Franc. Mesquite, dark cherry, vanilla, herb and spice aromas lead to tart, tingly flavors with bunched up tannins.",87,9.13,40,Sean P. Sullivan,Burnt Bridge
France,Bordeaux,"A rich, spicy wine that is full of black-currant fruits. It does have a lighter touch of acidity that is nicely integrated into the smoky texture and fine tannins. The wine is ready to drink.",87,2.8,14,Roger Voss,Château du Juge
US,California,"A strong boysenberry fruit character is spiced by anise, graphite, cedar and Dr Pepper notes on this bottling. The palate shows light red currant, ripe plum, mulberrry and strawberry, with a touch of pencil shavings adding complexity.",87,5.86,21,Matt Kettmann,Indigené
US,California,"While this Zin is high in alcohol, which gives it some peppery heat, it's dry and complex. The flavors range from ripe blackberry, blueberry and currant to dark chocolate, licorice and warm-climate Zin spice. The vineyard contains 80-year-old vines, grown in the mountains above the valley floor, which explains the wine's unique concentration.",91,12.25,42,,Turley
US,Washington,"A marvelous effort in a difficult year, this textbook Washington Riesling is bursting with apricot and peach goodness. Round and polished, it's long and textured, with an excellent wash of minerality.",91,0.88,9,Paul Gregutt,Chateau Ste. Michelle
Spain,Northern Spain,"This borderline overripe big boy tosses out aromas of raisin, baked black plum and jammy black currant. It's lush, solid and steady, but blocky on the palate. Flavors of cassis and black cherry finish with ripe, sweet flavors of brown sugar, cassis and chocolate. Drink through 2021.",91,13.95,50,Michael Schachner,Marqués de la Concordia
US,Oregon,"Young, spicy and forward, this immediately accessible wine is a bowl of cherry candy, backed with pineapple highlights from natural acidity. It's full in the mouth, still with primary fruit flavors, but the structure to age gracefully over the next five to eight years.",91,7.55,55,Paul Gregutt,Soléna
Spain,Northern Spain,"Cherry, blackberry and baking-spice aromas are classic for this winery and the Rioja region. Bright, elegant and just plush enough on the palate, this tastes of plum, spiced berry fruits and mocha. A composed, dry, loamy feeling finish isn't pushy or demanding. Drink this easygoer through 2021.",91,5.2,26,Michael Schachner,Marqués de Murrieta
South Africa,Elgin,"A bit muted and shy on the nose, with faint accents of fresh grass, sweet citrus and just-ripe gooseberry. The palate offers a pithy-citrus flavor, adding a touch of bitterness to the clean close.",85,2.87,15,Lauren Buzzeo,Thelema
US,California,"A good, everyday Zinfandel, robust in blackberry, raisin and chocolate flavors, wrapped into firm tannins. With its sweet finish, it will be a good companion to tomato-based barbecue.",85,3.03,18,,Quackenbush
US,Washington,"Pure Nebbiolo from the Elerding Vineyard, aged 40 months in a mix of French and American oak. Nebbiolo does not have much color to begin with, and this seems a bit washed out, with acids and barrel flavors overtaking the fruit. Astringent and aggressively oaky.",85,11.42,42,Paul Gregutt,Stottle
Spain,Northern Spain,"Power and precision are accounted for on a deep, minerally nose that's loaded with cassis and blackberry aromas. A tight, rounded-by-oak palate offers flavors of coconut, vanilla, buttered toast, blackberry and cassis, while toast and vanilla flavors steer a potent finish. Aged six months in oak; drink through 2016.",90,3.2,16,Michael Schachner,Bodegas Imperiales
US,California,"From a blend of grapes sourced from three vineyard sites, including Keefer, one of the producer's vineyard designates, this wine displays a light red color. It has a noticeably supple texture, a soft expression of cranberry and red cherry accented by black tea.",90,9.57,33,Virginie Boone,Cellars 33
France,Southwest France,"This wine is all about fruit—ripe, velvety in texture and rich on the palate. It is dense, black in character without allowing the natural tannins of the Tannat to dominate. With its fruit, it will develop over the medium term. Drink from 2017.",90,5.07,22,Roger Voss,Château d'Aydie
South Africa,Stellenbosch,"A robust nose of cigarbox, cinnamon spice and minerals introduces this elegant wine from Meerlust. On the palate, it's integrated and serious, with blackberry, anise and pepper. With its firm tannins and lingering finish, the wine is a classic red with character, and is approachable.",88,6.03,27,Susan Kostrzewa,Meerlust
France,Southwest France,"Creamy soft fruit, with the richness of 2005, hinting at some toast flavors. This wine is the second label from the Conti family, owners of Château Tour des Gendres, by far the best producer in Bergerac. It is a rounded, full wine, with fine, ripe white fruits, pears and nectarines, topped with light acidity.",87,2.57,12,Roger Voss,Château Tour des Gendres
France,Loire Valley,"This is a rich style of Muscadet, ripe with red apples and lemon acidity. It's full bodied, structured with some minerality and a tight, nervy texture. It's a delicious wine that could be aged, so drink from 2016.",90,2.75,15,Roger Voss,Bonnet-Huteau
Italy,Lombardy,"Aromas of wildflower, hay, stone fruit and citrus lead the nose. The vibrant palate delivers tart Granny Smith apple, juicy citrus and peach alongside crisp acidity. The clean finish closes on an almond note.",89,2.3,18,Kerin O’Keefe,Marangona
Brazil,Campanha,"The name is appropriate: this is intense, just not in the best way. On the nose, this Tannat smells furry and earthy, with cherry notes. A wiry pulling palate is once again intenso, with black cherry, pepper and cocoa flavors that don't expand, contract or change on a monotone finish.",84,0,,Michael Schachner,Salton
Portugal,Vinho Verde,This is called sweet and that's what it is. The candied sweetness is balanced by some acidity to keep the wine crisp and fruity. It will be fine as an apéritif. Drink now.,84,0.98,8,Roger Voss,Aveleda
Chile,Maipo Valley,"Herbal berry aromas are accompanied by scents of plastic and latex. On the palate, this feels round and basic. Salty, herbal black-fruit flavors finish chunky and obtuse, with mild bitter notes.",84,3.67,15,Michael Schachner,De Martino
Uruguay,Atlantida,"Oak, vanilla and furry berry aromas are raisiny and overly sweet. This Ripasso from dried Tannat grapes weighs in heavy and feels rustic. Saturated toasty flavors of oak, prune and raisin finish dark, minty and chocolaty.",84,8,40,Michael Schachner,Viñedo de los Vientos
US,California,This medium-bodied wine has ripe and semisweet flavors like cherry juice and plum jam that give a soft impression on the palate.,84,3.8,19,Jim Gordon,Hess Select
US,Washington,"Tart and brambly, this carries well-integrated streaks of earth and bark along with the light berry flavors. At first the tannins feel a bit rough, but the wine smoothes out and lightens up into a fresh, fruity finish.",87,8.87,35,Paul Gregutt,Eleven
US,California,"Big flavors, lots of body and a smooth, almost thick texture make this a bold wine, yet it also has good underlying acidity to keep it from being heavy. The aroma is quite earthy when first uncorked but that goes away with airing and the buttery and ripe fruit flavors come through and stay lingering on the finish.",91,5.35,22,Jim Gordon,Chacewater
US,California,"Peppery spice and a nose of violets and roses mark the entry and midpalate of this wine, priced moderately for the appellation. Layered, with a twinge of yeasty baked bread, it has a strong personality, stemmy and feral, with a lasting linger of grenadine.",91,10.15,40,Virginie Boone,Fritz
US,California,"Cut apple, sliced nectarine and crisp citrus elements meet with sourdough yeast, slight jasmine, chamomile and dried dandelion on the nose of this wine from the El Jabali and La Encantada vineyards. The palate is slightly sour, with tight green apple, baking soda and lime flesh flavors.",91,12,60,Matt Kettmann,Alma Rosa
US,California,"A fabulous blend of Zinfandel, Sangiovese and Syrah, this wine has earthy, dried herb aromas, dense fruit and dark chocolate flavors and considerable soothing tannins. It is dry in style, not too full-bodied, and has a lingering finish. Needs time to mature, and will best after 2018.",91,4.8,24,Jim Gordon,Naggiar
France,France Other,"Although this is labeled as Vin de France, its fruit comes from the La Bégude estate in Bandol. With one year's aging, it is full, soft and ripe with generous strawberry flavors. Dark in color, it may not follow the trend in Provence for pale rosés and its taste is rich and full bodied. The acidity at the end gives the necessary freshness.",91,9.19,40,Roger Voss,Domaine de la Bégude
Italy,Sicily & Sardinia,"Cavanera is a white blend produced by one of the most important wine families based in Trapani, on the other side of Sicily. The wine is crisp and fresh, with a drying mineral note that gives it momentum in the mouth.",87,0,,,Firriato
US,Washington,"Fruit-forward aromas of blueberry, orange peel and spice lead to medium-bodied fruit flavors. It's respectable, though it's near impossible to peg it as Cabernet.",85,2.32,10,Sean P. Sullivan,Washington Hills
Italy,Veneto,"Aromas of nut and yellow apple skin follow over to the lean palate along with brisk acidity. It's vigorous, with steely bubbles.",84,2.2,11,Kerin O’Keefe,Adria Vini
New Zealand,Marlborough,"If you like your Sauvignon Blanc on the grassy, herbaceous side, then this little number is for you. A mix of melon rind, candied ginger, lime leaf, and of course, grass show on the palate. Perfect for grilled veg on the barbecue.",84,2.02,14,,Barker's Marque
Argentina,Mendoza Province,"Punchy citrus aromas are prickly on the nose. This wine is quite citric in feel, with lemon extract and lime taking charge.",84,2.6,13,Michael Schachner,Domaine Bousquet
US,California,"This concentrated Merlot is blended with smaller percentages of Petit Verdot, Cabernet Sauvignon, Cabernet Franc and Syrah. Dense in black licorice and toasty oak, the fruit character is dominated by red plum and berry aromas and flavors.",92,5.5,28,Virginie Boone,Ballentine
US,California,"From the Hahn family of wines comes this solid representation of the appellation, with dark cherry, wet slate and soft mint on the nose. The mouthfeel is soft and comforting, with tight raspberry fruit and a clove-like spice note carrying through the entire sip, culminating in a mouthwatering black-pepper finish.",92,8.49,50,Matt Kettmann,Lucienne
US,Washington,"A blend of 60% Syrah from Ambassador Vineyard and 40% estate-grown Petite Sirah, this brightly aromatic wine conveys raspberries, dark cherries and vanilla. It's fruit forward, richly flavored with red fruit that leads to a cranberry-filled finish.",91,5.8,29,Sean P. Sullivan,Corvus
US,California,"Amazingly delicious and soft. Defines the modern Napa Cabernet style, with the tasteful elegance Hall wines are known for. With 20% Merlot, it displays dazzlingly rich flavors of blackberries, black cherries, red currants and mocha, with a savory note of bacon. Now–2013.",94,11.57,55,,Hall
US,Oregon,"Super fragrant, with lush scents of citrus, apple and a hint of vanilla, this excellent Auxerrois pushes confidently through the palate and into a well-defined, lengthy, slightly saline finish. Unique and delicious.",90,5,25,Paul Gregutt,Adelsheim
France,Champagne,"Situated on the Montagne de Reims, Henriet-Bazin makes a very traditional style of Champagne. This wine, with some bottle age, has mature fruit and baked-apple flavors. Ripe and full, one can sense that older reserve wines have been used in the blend. Ready to drink now.",90,0,,Roger Voss,Henriet-Bazin
France,Languedoc-Roussillon,"Delicate notes of earthy herbs and cola spice grace the red chery, currant, rhubarb and cranberry tones on the nose and mouth of this easygoing wine. It's light in weight and softly structured, with ample acidity lending freshness through the close.",85,3.64,12,Lauren Buzzeo,Domaine de Cabriac
US,New York,"Delicate blossom and fresh apple notes are pretty on the nose. The palate is a bit bracing by comparison, offering tart lemon-lime flavors and a touch of earthiness on the finish. Drink now.",85,4.1,16,Anna Lee C. Iijima,J.R. Dill
Italy,Piedmont,"Nicely extracted and thick in the mouth with plush layers of black fruit, mineral, ash, leather and vanilla, Monvigliero shows a balanced and elegant side to the 2005 vintage. The wine is inky and rich with stone-tight tannins and a drying finish. Pair it with roasted lamb or pork stuffed with prunes.",90,14.67,70,,Fratelli Alessandria
France,Languedoc-Roussillon,"This blend of 30% Syrah, 30% Grenache, 30% Carignan and 10% Mourvèdre is not showing its true age. Sure, it boasts some developed notes of charcuterie, balsamic herb and garrigue, but it's also still brimming with full, ripe black-fruit notes of plum and berry. With a crushed velvet texture, gripping tannins and a long, heady finish that's laced with hints of espresso and vanilla, this shows no signs of slowing down anytime soon. Enjoy now, or try after 2016.",91,10.29,39,Lauren Buzzeo,Château Avernus
US,California,"The wine tastes and feels tight and remote now, despite luscious raspberry, strawberry and oak flavors. But the promise is there, with firm tannins, crisp acidity and bracing minerality providing the structure for aging. This should hit its stride between 2015–2017.",91,11.2,56,,Pali
Austria,Niederösterreich,"Earthy yeastiness combined with soft lemon freshness creates a very savory wine. While the palate has umami-like spice, it also has a linear lick of clean lemon acid. The two work in contrast and will show their best with a mixed cheese platter.",90,4.6,23,Anne Krebiehl MW,Dürnberg
US,New York,"Hints of waxy white florals and lemon zest persist from nose to finish on this intensely revitalizing semidry Riesling. Tart stone-fruit flavors penetrate the palate, highlighted by a stream of spine-tingling acidity.",90,2.42,17,Anna Lee C. Iijima,Anthony Road
Italy,Northeastern Italy,"Made entirely with Pinot Nero, this boasts apple, bread crust and toasted hazelnut aromas that follow through to the smooth silky palate along with an orange-zest note. Crisp acidity lifts the creamy flavors. Delicious.",93,4.6,50,Kerin O’Keefe,Maso Martis
US,Oregon,"This is all Pommard clone Pinot from a vineyard in the McMinnville AVA. It's loaded with ripe, fleshy cherry fruit and suggestions of steely minerality, typical of the terroir. Big, full, delicious and nicely balanced, it wraps up with a yummy chocolaty finish.",93,7.6,38,Paul Gregutt,DanCin
France,Champagne,"Only produced in magnums, this Champagne is crisp, tight and with intense acidity. It is tangy, salty with lemon and grapefruit flavors. It is only just ready to drink, the magnum allowing it to age more slowly. Best to drink from 2018.",93,21.97,120,Roger Voss,Esterlin
France,Champagne,"The wine in this 100% Pinot Noir comes from one of the top villages in the Montagne de Reims. It is rich, structured and with a youthful character despite its nine years . It has berry and rich plum fruits as well as a dry core of acidity. Drink this ageworthy Champagne from 2019.",93,9.32,75,Roger Voss,G. H. Mumm
Italy,Northeastern Italy,"Fresh, elegant and well structured, this gorgeous white offers heady aromas of spring wild flower, white stone fruit, citrus and an inviting whiff of toasted nut. It's bright and savory, delivering yellow apple, nectarine drop and almond while a saline note wraps around the lingering finish.",93,6,30,Kerin O’Keefe,Raccaro
France,Bordeaux,"It is the high proportion of perfumed Sauvignon Gris in this wine that creates its ripe, smooth and rich character. It brings in a calming, rounding influence to the more herbal Sauvignon Blanc and will allow it to develop a creamy character as it develops. Drink from summer 2017.",86,3.86,13,Roger Voss,La Fleur Ribeyrolles
Argentina,Mendoza Province,"Gritty aromas of grilled beef and asphalt blend with savory berry scents. Frankly, this is rough on the palate, with abrasive tannins. Savory herbal green-leaning flavors are peppery and bitter on a grabby finish.",86,6.16,25,Michael Schachner,Altamira
Italy,Tuscany,"This opens with characteristic aromas of wild berry, wet earth, white truffle and roasted coffee bean. It feels rich and concentrated in the mouth, but never heavy or sticky.",90,5.2,26,,Castelli del Grevepesa
US,Oregon,"This aromatic wine offers rich fruit and floral scents. It's tart and spicy on the palate, with bright red fruit. Although aged in 42% new and 33% one-year barrels, oak-derived flavors aren't evident. Still, it's a young wine pulling itself together.",90,13.53,50,Paul Gregutt,Chehalem
France,Loire Valley,"This producer's style is for rich wines and this is no exception. With its depth of fruit and ripe apples and lemon, it is both crisp and full. The wine has some wood aging not for the flavor, more for the open effect. Drink the wine now.",90,7,35,Roger Voss,Florian Roblin
US,California,"Grapefruit peel and tart lemon combine for a memorably savory beginning to this crisp wine. This one integrates its acidity with a medium weight into a clean, dry and lengthy package of flavor and bite.",90,6.4,32,Virginie Boone,Luna
Chile,Leyda Valley,"There's zero doubt about this Chardonnay's ripeness. The nose is warm, honeyed and a bit leaden. Round in the mouth, it offers tropical flavors of orange and nectarine. On the finish, a buttery note blends with residual citrus fruit.",87,5.03,18,Michael Schachner,Santa Rita
Italy,Tuscany,"Made entirely with Sangiovese, this earthy wine leads off with aromas of red berries and wet soil. The juicy palate delivers wild cherry lightly accented with notes of white pepper alongside smooth tannins and fresh acidity. It's an ideal match with a variety of dishes, including pizza. Enjoy soon.",87,3.15,16,Kerin O’Keefe,Tenuta Santo Pietro
France,Southwest France,"A fruity, lightly tannic blend that comes from a region just to the east of Bordeaux itself. It has ripe berry fruits, a sense of dry structure enveloped with juicy black currants and is finished with crisp acidity.",86,1.47,10,Roger Voss,Vincent Lataste
US,Oregon,"This displays the bright and polished fruit of this excellent vintage. Highlights are pretty cherry and strawberry candy, which touch on cotton-candy charm without becoming sweet or cloying. Just 15% of the wine saw new oak.",89,4.4,22,Paul Gregutt,Spindrift Cellars
US,California,"Plummy, ripe, beginning to oxidize. Ready to drink right now, it's got a leafy, tomato flavor to it. Unusual.",82,1.92,18,Paul Gregutt,Meeker
France,Southwest France,A white this age should be fresh and crisp; this one is a bit dull and shows only faint bitter lemon flavors on the finish to go with tired apple aromas.,80,2.08,8,Joe Czerwinski,Seigneurs de Bergerac
Uruguay,Montevideo,Inky cool herbal black-fruit aromas set up a choppy tight palate with pounding tannins. Flavors of black coffee and blackberry are heavily toasted. The finish keeps that toasty theme while introducing notes of pepper and horseradish.,87,2.47,17,Michael Schachner,Gimenez Mendez
US,California,"Medium body and an attractive earthy, oaky flavor profile make this wine a little different from the norm and a great value. It has complexity in the red cherry, rhubarb and sweet-spice flavors, and a supple texture with a touch of tannin.",87,2.34,13,Jim Gordon,Castle Rock
Argentina,Mendoza Province,"Mocha and chocolate welcome you in, but once you get in there isn't much to taste. There's generic red fruit, spice and leather, but the wine seems acidified and on the razor's edge. Not overly generous and the mouthfeel is sheering.",84,3.23,13,Michael Schachner,Bodegas Escorihuela
US,California,"If you “talk dry and taste sweet,” as they say, you'll like this wine. It's not really dry at all. But it's very rich in tropical fruit, wildflower, honey and spice flavors that are balanced out by good enough acidity.",84,4,20,,La Crema
France,Burgundy,"This is the big one, one of the most treasured white wine vineyards in the world. And the wine is magnificent, balanced with restrained power and style. Yellow fruits are shot through with acidity that conveys a nervy texture and an intense, concentrated character. This needs many years; don't drink before 2020.",95,150.13,520,Roger Voss,Louis Latour
France,Burgundy,"One of the flagship wines of Louis Latour, this has great weight, richness and ripe yellow fruits, all surrounded by wood and citrus flavors. A sense of mineral in the texture adds complexity, while the firm structure needs to age. Drink from 2018.",94,25.24,140,Roger Voss,Louis Latour
Italy,Tuscany,"Earthy aromas of tilled soil, bell pepper, ripe plum and a whiff of barnyard waft out of the glass. The palate is a bit rustic, displaying fig, ground black pepper, graphite and a gamey note alongside velvety tannins. Drink soon.",88,8.06,30,Kerin O’Keefe,Stefania Mezzetti
US,Washington,"Blended with 9% Sémillon, this wine has aromas of lemon curd, starfruit, barrel spices (18% new French oak) and fig. It's full bodied, with a creamy feel and a lingering finish.",88,3.6,18,Sean P. Sullivan,Three Rivers
US,California,"Thick and lush in red and black cherry, this wine has voluptuous tannins around a medium to full body. Structured and well balanced, it finishes in a tasty cloud of dust.",88,4.4,22,Virginie Boone,Wellington
Italy,Tuscany,"Aromas of mature black fruit, blue flower, kitchen spice and a whiff of aromatic herb lead the nose on this savory wine. The smooth, easygoing palate doles out black cherry, plum, white pepper and a hint of anise alongside fresh acidity and polished tannins. Enjoy now.",88,1.75,13,Kerin O’Keefe,Giannoni Fabbri
US,California,"Think of a pink version of Beaujolais Nouveau. The grapy flavors light up this light-bodied, extroverted rosé even more than the almost fluorescent pink color. Very fresh, light and frothy and all those qualities seem right for it.",86,5.07,18,Jim Gordon,Helwig
Chile,Curicó Valley,"Apple and peach aromas are dusty and lightly tropical. With no oak, fruit is all you get in this Chardonnay; flavors of apple, nectarine and melon run clean, sweet and ripe, while the finish is mellow and lands smack in the middle of the fairway.",86,2.35,10,Michael Schachner,Echeverria
France,Champagne,"This Champagne is soft with ripe red fruits and a gentle acidity. It is an immediately attractive wine, with an orange-tang aftertaste. The bottling is ready to drink.",87,8.06,60,Roger Voss,Chanoine
France,Bordeaux,"The wine is dry and structured with firm tannins that are masking the fruit. It is a concentrated wine, firm and dense. Let this wine develop and wait to drink until 2019.",87,2.6,13,Roger Voss,Château Ségonzac
Austria,Kamptal,"Oh the purity of freshly cut red-cheeked apples illuminated by equally pure lemon freshness. Yes this is high in the acidity stakes but comes with so much purity of fruit, one simply has to rejoice in all the liveliness. This offeing has a real spring in its step and will enliven any occasion, balanced and concentrated as it is.",93,6,30,Anne Krebiehl MW,Weszeli
Austria,Wachau,"Perfumed hints of mandarin and stone fruit are subtly expressed on the nose. The palate is more incisive with fresh lemon zest and a feather-light body which holds fresh sprays of lemony citrus. Light but pleasingly intense, notions of stone mingle with all the lime, lemon and mandarin peel. Beautifully long.",93,19,95,Anne Krebiehl MW,Franz Hirtzberger
Spain,Catalonia,"Green, grassy aromas lead the bouquet, which then turns charred and oaky. In the mouth, clove and heavy oak notes are dominant, while the feel is rubbery and rough. This is rugged and oaky.",81,2.65,11,Michael Schachner,Raimat
Italy,Tuscany,"Oak, toast, menthol and a whiff of purple flowers lead the nose on this blend of Sangiovese and 10% Cabernet Sauvignon. The concentrated palate delivers dried black cherry, chocolate, vanilla and dried sage alongside tightly-packed tannins. A clove note signals the finish.",91,17.96,59,Kerin O’Keefe,Gagliole
Italy,Tuscany,"Seafood platters loaded with steamed mussels and spicy crab cakes call out for a fresh, vibrant Vernaccia just like this bottling. Massimo Daldin offers touches of vanilla cream, yellow fruits and nuts, which give it momentum and character.",87,3.2,16,,Cà del Vispo
France,Loire Valley,"The top cuvée from Thomas (you can tell by the heavy statement bottle), this is an almost opulent expression of Sauvignon Blanc. It builds on its texture, gained from the chalk soils of Sancerre, with intense tropical fruits, pineapple as well as citrus and grapefruit. It is structured, dense and impressive.",92,5.13,40,Roger Voss,Domaine Thomas & Fils
Italy,Tuscany,"This red Passito dessert wine from Tuscany offers bittersweet aromas of wild cherry, raspberry, cassis and cola. It makes a simple but clean impression in the mouth and would pair with chocolate brownies or cherry pie.",86,6.06,32,,Morisfarms
Italy,Piedmont,"Despite its young age, this beautiful expression of the Cannubi cru from Michele Chiarlo already shows a high level of evolution and sophistication. The wine blends mineral aromas with fresh fruit, spice and licorice. It finishes on the spicy side with a toasty aftertaste and drying tannins.",92,0,,,Michele Chiarlo
Portugal,Douro,"Dense and powerful, this is an impressively concentrated and intense wine. It brings out rich tannins, equally rich black plum and spice flavors, a layer of smokiness plus a strong slash of minerality that cuts across the texture. For aging 5–6 years.",92,9.46,37,Roger Voss,Quinta do Portal
US,New York,"Elegant and nuanced, this penetrating Cabernet Franc offers bold strokes of blackberry and plum tinged with hints of wet soil, crushed mineral and spice. It's bold and lusciously composed but there's a puckery-fresh brightness of acidity that's delightful. Released with extended cellar aging, its soft, feathery tannins are approachable already but it's still structured enough to improve well through 2025.",91,4.62,50,Anna Lee C. Iijima,Anthony Nappa
Portugal,Tejo,"It is the Verdelho that gives this wine its attractive, perfumed character. Crisp and bright with a tangy, lemon zest texture, the wine is rich. fruity and ready to drink.",85,3.01,10,Roger Voss,Casal da Coelheira
France,France Other,"Structured with a core of tannin, this is a ripe wine. It has layers of red fruit and attractive acidity, showing the potential to last a few more months before drinking.",85,3,15,Roger Voss,Vins Descombe
US,Oregon,"There's a funky, foxy note and a sour edge to this wine, which seems disjointed, or perhaps still showing a little bottle shock. Component flavors include sour plum and wild cherry, and the finish is leathery and tannic.",85,6,30,Paul Gregutt,A Blooming Hill Vineyard
France,Burgundy,"This fruity wine, free from any oak aging, revels in its attractive tropical flavors. It's as ripe and rich as the vintage suggests, with light, balanced acidity. The aftertaste is soft, keeping up the fruitiness. Drink now.",85,3.46,15,Roger Voss,Labouré-Roi
US,California,"Made from a majority of 8% Merlot, the remainder Cabernet Sauvignon, this proprietary red is dry in severe acidity, with dusty tannins that overpower on the palate. Firm and ultimately light-bodied, it lacks in fruit.",85,15.1,85,Virginie Boone,Vellum
Chile,Central Valley,"Candied, slightly volatile red-berry aromas are topped with chocolaty oak. In the mouth, this is simple and medium-bodied. Salty berry and plum flavors are just ripe enough before this falls off on the finish.",85,2,10,Michael Schachner,Santa Luz
Chile,Puente Alto,"Pencil eraser, blueberry, olive and peppery notes are what you draw off the bouquet of this ripe yet basic Cab. In the mouth, this feels rubbery and tannic. Flavors of ultraripe black fruits taste sweet and come with licorice and espresso bitterness on the finish, which is mossy, heavy and choppy.",87,5.16,26,Michael Schachner,Concha y Toro
France,Champagne,"The onion-skin pink color sets the stage for an off-dry, just-sweet wine, that is crisp, yet soft and rounded. It has good weight, fresh raspberry flavor, and delicate sweetness, resulting in a wine that's crisp and textured.",87,11.8,59,Roger Voss,Nicolas Feuillatte
France,Southwest France,"Because of the cool Atlantic climate, the Gascogne region is home to many bright, crisp wines. This is fruity, fresh and utterly crisp while also having some hints of melon and peach flavors. A touch of attractive minerality gives the wine texture. Drink now.",87,1.53,11,Roger Voss,Vignobles 46N118
US,California,"Shy on the nose, this wine has dry, sticky tannins that cling to a wall of high-toned red fruit, mostly plum, forming a medium weight on the palate. Softening out as it goes, it leaves black pepper on the finish.",86,6,30,Virginie Boone,Rippey
Chile,Leyda Valley,"If you want to taste a true cool-climate SB with chiseled aromas and tons of cutting acidity, this is it. Aromas are lightly vegetal but also include citrus and passion fruit. Flavors of tangerine, passion fruit, rosemary and thyme finish citrusy and zesty. This is so linear it will cut through almost any kind of food.",90,5,25,Michael Schachner,Luis Felipe Edwards
Austria,Kremstal,"Lifted lemon purity, cushioned by riper stone fruit, especially yellow plum and greengage, makes this a complete and super-refreshing, fruity number.",90,5,25,Anne Krebiehl MW,Sepp Moser
Austria,Kamptal,"This still needs a little time to come into its own but all the principal features are present. A concentrated palate provides texture framed by fresh acidity, linear length and fleshy fruit, hinting at ripe pears and yellow plums.",90,3.72,23,Anne Krebiehl MW,Weszeli
Spain,Northern Spain,"Clean lines and fresh, oak-tinged aromas is what this Viura (with 10% Malvasia) is all about. The nose starts with lemon, green apple and a spot of vanilla, while the juicy palate brings bright white fruits, toasty oak and smoke. Not overly complex but not rudimentary or dull. A nice food wine and probably the best barrel-fermented white from Muga we've tried.",89,3.68,16,Michael Schachner,Muga
US,Oregon,This is a standout in this price range. The well-defined cherry/cranberry fruit is wrapped in fresh rosemary and tarragon spices; the tannins are polished and there is an intriguing scent of pine forest that permeates the finishing flavors also. Such complexity is not always found in wines twice as expensive.,89,3.44,25,Paul Gregutt,Stoller
US,New York,"Sharp lemon and lime accent crisp peach and apricot flavors in this nervy dry-style Riesling. A touch of savory wheat contrasts fresh citrus and stone fruit, but overall, it's a refreshing, easy quaffing wine, ready to drink now.",87,2.8,14,Anna Lee C. Iijima,Lucas Vineyards
US,Washington,This wine is equal parts Sauvignon Blanc and Sémillon fermented and aged in stainless steel. The aromas and off-dry flavors of grass and fig seem a bit muddled but still bring enjoyment.,86,2.68,25,Sean P. Sullivan,Cave B
US,California,"There are very savory aromas on this wine, with campfire smoke and herb-crusted game dominating the boysenberry fruit in the background. The tannins are edgy, and toasted oak flavors persist in a pleasant way, with black cherry and licorice present as well.",88,19.34,65,Matt Kettmann,Smith & Hook
Canada,British Columbia,"Pure varietal and surprisingly light for this often tannic grape, this leads with pretty raspberry and cherry fruit set in sweet baking spices, and finished with a lick of chocolate and a frame of toasty oak. It's balanced and proportionate, though definitely on the lighter side.",88,3.7,25,Paul Gregutt,Tinhorn Creek
US,California,"For the price, this Merlot packs a delicious punch, offering soft, persistent layers of chocolate, tar and leather, the tannins present yet well-managed. Red fruit and smoke intermingle on the palate, playing well together.",88,2.98,15,Virginie Boone,Avelina
US,California,"This is an earthy and somewhat savory wine, buoyed by level acidity. It offers stewed lemon and fennel around a feral nose.",88,9,45,Virginie Boone,Buena Vista
Australia,South Australia,"Yalumba has been pushing the organic envelope in recent years, and this Shiraz is a winner. It's full bodied and supple nearly to the point of creaminess, but delivers mixed berry, vanilla and baking-spice flavors, all with a certain amount of elegance. Drink now–2022.",90,4.67,18,Joe Czerwinski,Yalumba
US,Oregon,"This late release offers a good look at how the better Oregon white wines can improve with a few additional years in the bottle. Smooth and rich, it mixes pineapple, Asian pear and honeysuckle scents and flavors. Good verve and a light, pleasant hint of fresh herb.",90,5,25,Paul Gregutt,Z'IVO
US,California,"This is sourced from a steep site on the southern end of the appellation, a sunny location that provides concentration and weight to the wine. Smoky, herbal and earthy, it offers a wealth of rounded tannin and approachable texture that's complemented by dark cherry, blackberry, clove and vanilla.",90,10,50,Virginie Boone,Enos Vineyard
Australia,Western Australia,"Tasted blind, this wasn't particularly different from the other Rieslings in its flight, which were predominantly South Australian. It's got those same wet stone and citrus tendencies and is made in the same medium-bodied, dry, high-acid style. There's a touch of pineapple as well, plus a long, dry crisp finish.",90,5.93,22,Joe Czerwinski,Leeuwin Estate
France,Burgundy,"Produced from old, low-yielding vines, this delicious wine balances crisp acidity with intense white fruit. It's poised and stylish, with a cool character expressed in its acidity and lemon zest-like aftertaste. Drink now.",90,4.23,20,Roger Voss,Vignerons des Terres Secrètes
France,Rhône Valley,"Like the La Louvée, this wine is plummy and superripe, wrapped in toasty, cedary oak. It's savory as well, with meaty notes carried along by waves of richness. The finish is lined with mouthcoating tannins, suggesting a few years of cellaring are warranted. Drink 2018–2030.",92,11.35,85,Joe Czerwinski,Jean-Luc Colombo
